"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","mhs5200","'wd5gnr/mhs5200a: Shell script and awk program (and spreadsheet) to allow","WattRex","UNKNOWN","","","8","T4_manual_review"
"community","mi6960","Marconi 6960B RF鍔熺巼璁?","Marconi Instruments","UNKNOWN","","?","1","T4_manual_review"
"community","microscope","type: string","Open Source","TCP","socket","","72","T3_network_needs_ext"
"community","micro_fpga","Micro Fpga","Open Hardware","UNKNOWN","","","40","T4_manual_review"
"community","mighty_mini","Mighty Mini","Mighty Mini (Open Source)","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","minipump","Generic Miniature Pump 娉?","Open Source","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","minitel","Minitel","France Telecom","SERIAL","pyserial","","24","T1b_serial_probe_tbd"
"community","mini_las_evo","SDL Atlas 鑷姩璧风悆璇勭骇绯荤粺","閿¤幈-浜氬お鎷夋柉鏈夐檺鍏徃 SDL Atlas Ltd.","VISA_SCPI","lantz/VISA","DM?","15","T2_visa_needs_rs232_idn"
"community","mi_wave5nn","MI Wave5nn","Mi-Wave","UNKNOWN","","","1","T4_manual_review"
"community","modbus_adu","Modbus ADU","Modbus (Open Standard)","SERIAL","pyserial","","12","T1b_serial_probe_tbd"
"community","modbus_adu_cs","Modbus ADU CS","Modbus (Open Standard)","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","modbus_client","Modbus Client","Modbus (Open Standard)","MODBUS","modbus","","27","T2m_modbus_probeable"
"community","modbus_serial_client","Modbus Serial Client","Modbus (Open Standard)","SERIAL","pyserial","","13","T1b_serial_probe_tbd"
"community","modbus_serial_worker","Modbus Serial Worker","Modbus (Open Standard)","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","modbus_server","Modbus Server","Modbus (Open Standard)","MODBUS","modbus","","17","T2m_modbus_probeable"
"community","modbus_tcp_client","Modbus TCP Client","Modbus (Open Standard)","SERIAL","pyserial","","0","T1b_serial_probe_tbd"
"community","molecular_devices_backend","Molecular Molecular Devices Instrument","Molecular Devices","SERIAL","pyserial","","19","T1b_serial_probe_tbd"
"community","motor_control","Motor Control","Open Source","VISA_SCPI","lantz/VISA","","11","T2_visa_needs_rs232_idn"
"community","mp285","MP-285 Motorized Micromanipulator","Sutter Instrument","SERIAL","pyserial","","15","T1b_serial_probe_tbd"
"community","mp71025_x","Generic MP71025-X Motion Controller 杩愬姩鎺у埗鍣?","Multicomp Pro","VISA_SCPI","lantz/VISA","VOUT?","9","T2_visa_needs_rs232_idn"
"community","mpbcw_laser","type: string","","SERIAL","pyserial","","418","T1b_serial_probe_tbd"
"community","mpi_sentio_prober","type: string","","TCP","socket","*RCS?","1210","T3_network_needs_ext"
"community","mqtt_client","Mqtt Client","Open Standard (MQTT)","TCP","socket","","20","T3_network_needs_ext"
"community","mso5k","Mso5k","RIGOL Technologies","UNKNOWN","","*IDN?","19","T4_manual_review"
"community","msox","Keysight MSOX Series Mixed Signal Oscilloscope 绀烘尝鍣?","Keysight Technologies","VISA_SCPI","lantz/VISA","","1","T2_visa_needs_rs232_idn"
"community","msox3000","Keysight InfiniiVision MSOX3000 X-Series Mixed Signal Oscilloscope","Keysight","VISA_SCPI","lantz/VISA","MEASure:RESults?","41","T2_visa_needs_rs232_idn"
"community","mstp_director","Generic Mstp Director","Open Standard (BACnet)","SERIAL","pyserial","","17","T1b_serial_probe_tbd"
"community","mstp_multiplexer","Generic Mstp Multiplexer","Open Standard (BACnet)","SERIAL","pyserial","","17","T1b_serial_probe_tbd"
"community","mtsics","String","Mettler-Toledo","UNKNOWN","","TAC","12","T4_manual_review"
"community","multi_mca_detector","Generic Multi-Channel Analyzer (MCA) Detector 鎺㈡祴鍣?","Generic (EPICS)","UNKNOWN","","","30","T4_manual_review"
"community","multi_rate_cyclic_send_task","Multi Rate Cyclic Send Task","Open Source","TCP","socket","","0","T3_network_needs_ext"
"community","multi_xmap","XIA XMAP 澶氬厓绱犳帰娴嬪櫒 X灏勭嚎琛嶅皠浠?鎺㈡祴鍣?","XIA LLC","UNKNOWN","","","43","T4_manual_review"
"community","mxr","Keysight MXR Series Real-Time Oscilloscope 绀烘尝鍣?","Keysight Technologies","VISA_SCPI","lantz/VISA","","2","T2_visa_needs_rs232_idn"
"community","mx_rxx4_a","Infiniium MXR-Series","Keysight","VISA_SCPI","lantz/VISA","","2","T2_visa_needs_rs232_idn"
